"","X","sub1","sub2","cor1","pval1","cor2","pval2","sameSemester"
"15424","cor",1179240,444490609,0.295397878660465,0.00547432411021177,0.201084278846045,0.314538639154434,0
"15555","cor",1179240,898386707,0.374129708830247,0.0292731391197522,0.242489052979826,0.302965410087035,0
"16541","cor",1179245,1186202,0.401369525677806,2.66070619917051e-06,0.223699997592525,4.80290719951553e-09,536
"16542","cor",1179245,1705532,0.463209251733715,8.85440760905427e-13,0.551347120662159,3.57141155918078e-88,1
"16543","cor",1179245,1705538,0.390457868434722,1.4094346305256e-08,0.418048738041726,8.78331718880526e-12,816
"16546","cor",1179245,1705590,0.416813612264921,2.82812595275124e-08,0.301178976083268,1.38113836227977e-92,1
"16547","cor",1179245,1705597,0.356297925915595,7.11784345713657e-06,0.26938371507335,2.92378039227988e-65,438
"16570","cor",1179245,1771128,0.108272725120714,0.576116122533294,0.177368447236116,0.357326649173798,1
"16611","cor",1179245,1771839,0.0560050257228319,0.702301958426723,0.277913426031371,2.26655550107153e-09,0
"16622","cor",1179245,1771990,0.333945648245167,4.25894979572772e-23,0.39715029059974,0.0746379523456225,44
"16628","cor",1179245,1772035,0.34530724708286,0.0616349496976781,0.428318530343736,7.09553466676269e-14,6
"16634","cor",1179245,1772085,0.193797294375254,0.061264781074752,0.231922162424995,0.000281977906814638,45
"16635","cor",1179245,1772095,0.437536299135831,0.000335959803161204,0.301472531909664,2.16112386394358e-84,1
"16636","cor",1179245,1772125,0.395017852345687,0.000116671362855467,0.316503843554411,0.00075541088116519,356
"16644","cor",1179245,1772230,0.310008076204718,1.95028968758886e-19,0.366847636692292,1.16676662659702e-105,1804
"16645","cor",1179245,1772235,0.381668519254529,3.84843445882548e-85,0.166760962085646,9.73471309383634e-05,1821
"16667","cor",1179245,1772502,0.37609163713091,1.61438460313364e-34,0.327997277447975,0.000255052994069181,48
"16668","cor",1179245,1772517,0.274106746838916,3.24456101134569e-09,0.345892513886673,6.37350935812772e-165,530
"16683","cor",1179245,1772672,0.372769825825029,0.0010722840752718,0.173524537395045,0.228150271899667,4
"16693","cor",1179245,1772817,0.043056564806183,0.501463951839168,-0.0274243992020294,0.908627786940293,0
"16696","cor",1179245,1772852,0.117569353224195,0.0304492460218212,0.20387201659349,0.0010848495153441,17
"16697","cor",1179245,1772912,0.427445420055234,5.19652883237706e-55,0.438302240553249,6.90484794676069e-07,1
"16700","cor",1179245,1772992,0.154096875074168,0.00691912668259783,0.198898080962134,5.52360360373451e-13,297
"16701","cor",1179245,1772997,-0.0929187125350502,0.274861059571099,0.070704338463023,0.0465465656178738,99
"16702","cor",1179245,1773002,0.162205838274979,0.0404363308221678,0.137492781844715,0.000891270571545045,142
"16708","cor",1179245,1773252,0.116013967095375,0.353598869564156,0.109726931002564,0.16855920207744,32
"16724","cor",1179245,1773452,0.0110326013752753,0.939386175896063,0.322742029836959,0.000461484169802437,389
"16725","cor",1179245,1773457,0.379191738505663,2.64598906860466e-14,0.307920518317096,0.029598956865628,43
"16728","cor",1179245,1773472,0.348303890139597,5.14058919780383e-35,-0.0351712948845803,0.52623217252928,0
"16729","cor",1179245,1773477,0.104839795816501,0.429387058586278,0.0273570202684012,0.842840003144968,54
"16731","cor",1179245,1773492,-0.107504448942689,0.204490287811349,-0.0754177081576547,0.119689456768445,1307
"16734","cor",1179245,1773507,0.236700780604682,0.026394608924155,0.363965792204426,2.10768494831532e-26,0
"16751","cor",1179245,1773777,0.338964366944282,0.0577224698399836,0.322075659904364,1.75179789538454e-85,7
"16774","cor",1179245,1774012,0.338641473394895,0.0623945656999759,0.292120462541685,0.00275244178627136,161
"16783","cor",1179245,1774127,0.317875124194682,0.00456785949862796,0.425263934210792,2.68819391871695e-18,1
"16792","cor",1179245,1774242,0.303233397225127,5.10489522875031e-07,-0.075434252465597,0.681564903255532,120
"16794","cor",1179245,1774262,0.254683703530371,0.15261811794883,0.287509994130825,3.21963853922826e-26,0
"16797","cor",1179245,1774292,0.491664072738202,0.000943889566573164,0.00273684313879335,0.987743786476401,43
"16815","cor",1179245,1774472,0.413080810571381,2.83427422210945e-34,0.342951758153824,0.0302793314672061,4
"16830","cor",1179245,1774592,0.0465063900022373,0.557997106016826,0.0783690914729737,0.722265386716038,0
"16833","cor",1179245,1774617,0.32479976593116,1.00734280392653e-06,0.35200164491781,1.68133802520501e-09,2
"16839","cor",1179245,1774677,0.367691449122342,1.0070281711889e-24,0.150559906122272,0.281880445949885,5
"16841","cor",1179245,1774687,0.374201709026616,0.000125417850958224,0.00108736394449204,0.992461466071004,971
"16853","cor",1179245,1774762,0.295380819611618,7.14544311513544e-18,0.10279053231007,0.556806346040646,7
"16856","cor",1179245,1774797,0.298545967661575,1.65445716671302e-18,0.146010718240513,0.332923754795898,3
"16857","cor",1179245,1774802,0.235564325462243,0.210154931353483,0.265257791670974,0.129478893488866,387
"16866","cor",1179245,1774892,0.393499684114635,1.5008804739521e-44,0.286469852203541,0.00125723770981321,2
"16870","cor",1179245,1774972,0.246854714799277,0.0872752275038688,0.155590205096243,0.26592516672845,391
"16871","cor",1179245,1774997,0.236397882296093,0.0010245934132992,0.357802971181977,9.42076751038422e-07,0
"16880","cor",1179245,1775047,0.429967929747698,4.97630971744563e-05,0.461654198962535,0.0351436136525062,209
"16912","cor",1179245,1775427,0.276472947343132,0.0178957763585022,0.21771804351263,2.86168956124132e-61,1
"16913","cor",1179245,1775437,0.132920614508608,0.178585390645272,0.261050345633794,1.42926650258896e-90,3
"16914","cor",1179245,1775452,0.21201826268825,1.66504008846336e-08,0.289271639757728,9.38944799871669e-58,1946
"16915","cor",1179245,1775462,0.324771167881951,1.76263662622785e-54,0.0844028128840617,0.131906934575047,1709
"16928","cor",1179245,1775627,0.315381116235025,4.86175520757673e-05,0.148012290722302,0.388967473894481,135
"16929","cor",1179245,1775637,0.39514885624409,7.30339812785382e-07,0.538378724366647,2.82529032063489e-50,2
"16930","cor",1179245,1775642,0.35616060952335,5.05513053082011e-101,0.410783650624174,9.17812113442299e-91,78
"16931","cor",1179245,1775647,0.39437619541437,0.000799120356978307,0.447191882805656,4.91290949900005e-33,0
"16932","cor",1179245,1775652,0.321467690424337,0.0275681960186017,0.146730160627916,0.372739099020277,613
"16933","cor",1179245,1775667,0.138078372516055,0.107599967465661,0.0572689967758805,0.61614847540614,974
"16935","cor",1179245,1775697,0.453145168124334,0.00121946099126566,0.387442880968083,4.97473207647699e-42,0
"16936","cor",1179245,1775702,0.365726469060428,0.0172274017211898,0.312724879248902,1.9866482104702e-19,345
"16938","cor",1179245,1775757,0.147435311448427,0.000267529037413933,0.412547150940315,0.0153227169577278,14
"16955","cor",1179245,1776067,0.0872734935438944,0.211142274712512,0.0848994850042805,0.180874139250909,167
"16956","cor",1179245,1776072,0.489332001180224,4.29884467125205e-24,0.319603800731401,0.028532637287721,11
"16958","cor",1179245,1776087,0.297061503237419,0.0530540733392807,0.0152679768487136,0.87191208207168,1
"16959","cor",1179245,1776092,0.405464245370493,1.97147063364757e-08,0.0310674806873838,0.888091939165538,0
"16962","cor",1179245,1776112,0.256809062131286,0.00446311981839448,0.0465084026366809,0.496546894423097,6
"16974","cor",1179245,1776377,0.180742232849772,0.0676960332918108,0.247356988868765,0.0487703162946676,571
"16989","cor",1179245,1776557,0.309779039933138,0.000353641243857955,0.155957964814094,0.151594697979724,986
"16992","cor",1179245,1776592,0.278471611009991,0.000268469519419003,0.173953744501278,1.75540890795902e-06,1016
"16993","cor",1179245,1776597,0.393647653424294,0.00901090103285614,0.27911568101458,8.79426502033688e-16,235
"16996","cor",1179245,1776612,0.209527932384916,0.00580523118504879,0.120230303175193,0.584764987509097,0
"17014","cor",1179245,1776767,0.0555321276154679,0.710828361113733,0.0097922540439183,0.946190075665125,47
"17022","cor",1179245,1776892,0.375759688969633,0.00172713582255347,0.504253139175172,3.33030276947329e-53,11
"17027","cor",1179245,1776942,0.272726419703008,0.160283209669341,0.210023315256247,4.92946835499601e-06,0
"17050","cor",1179245,1777232,0.0894574385009785,0.393803485988159,0.286334683926834,0.00539454974486191,0
"17068","cor",1179245,2220109,0.474317457754037,2.93444187360578e-21,0.438082949590245,0.00146332733748647,0
"17090","cor",1179245,2258520,0.386205973468333,2.76036098190756e-11,0.211310921112218,0.0615664560461861,2
