SubjectID	sections
47995206	Sciences et technologies du vivant - master
1771849	Architecture|Mineur en Développement territorial et urbanisme
132446543	Architecture
40249208	Micro and Nanotechnologies for Integrated Systems|Génie électrique et électronique
1776060814	Génie électrique et électronique
1659017558	Physique
1496924504	Architecture|Mineur en Développement territorial et urbanisme
1775212	Physique - master|Ingénierie physique
72257890	Génie mécanique|Science et génie des matériaux
359060026	Génie civil|Sciences et ingénierie de l'environnement|Passerelle HES - GC
1497047397	Génie civil|Science et ingénierie computationnelles
1888395622	Science et génie des matériaux
1776050537	Micro and Nanotechnologies for Integrated Systems|Microtechnique|Génie électrique et électronique
405238132	Programme Sciences humaines et sociales
1659048310	Physique
1670037881	Hors plans
47980922	Mathématiques - master|Ingénierie mathématique|Mathématiques pour l'enseignement
128851631	Bioingénierie|Physique - master|Ingénierie physique|Sciences et technologies du vivant - master
1771905	Microtechnique
1776002	Génie électrique et électronique|Mineur en Technologies spatiales|Passerelle HES - EL
1781858692	Architecture|Mineur en Design intégré, architecture et durabilité
1773962	Architecture
445483403	Programme Sciences humaines et sociales
1156258190	Area and Cultural Studies minor
1803659663	Programme Sciences humaines et sociales
2214296	Sciences et ingénierie de l'environnement
229912643	Management, technologie et entrepreneuriat|Mineur en Management, technologie et entrepreneuriat
1773972	Architecture|Passerelle HES - AR
901865880	Programme Sciences humaines et sociales
967657884	Science et ingénierie computationnelles
1494716829	Architecture|Echange AR
1773982	Architecture|Passerelle HES - AR
1670074783	Bioingénierie|Génie électrique et électronique|Mineur en Neuroprosthétiques|Mineur en Technologies biomédicales|Sciences et technologies du vivant - master
355590564	Bioingénierie|Mineur en Neuroprosthétiques|Sciences et technologies du vivant - master
352252328	Sciences et technologies du vivant|Mineur en Systems Engineering
1771067819	Bioingénierie
128848626	Physique - master|Ingénierie physique|Science et ingénierie computationnelles
1776060846	Génie électrique et électronique
1772275	Passerelle HES - CGC
1776057	Génie électrique et électronique|Passerelle HES - EL
243429820	Physique - master|Ingénierie physique
350468544	UNIL - Sciences forensiques
1776067	Information security minor|Systèmes de communication|Informatique|Passerelle HES - IN|Passerelle HES - SC
227234245	Architecture|Echange AR
232289697	Mineur en Neurosciences computationnelles|Sciences et technologies du vivant - master
1775692	Génie civil|Sciences et ingénierie de l'environnement
1771690442	Génie électrique et électronique|Physique - master|Ingénierie physique
1774027	Génie civil|Sciences et ingénierie de l'environnement
24334799	Génie électrique et électronique
348637649	Gestion de l'énergie et construction durable|Sciences et ingénierie de l'environnement
72260050	Hors plans
249371091	Programme Sciences humaines et sociales
353834062	Management, technologie et entrepreneuriat|Mineur en Management, technologie et entrepreneuriat
1776087	Systèmes de communication|Informatique
1932794331	Génie civil
1790169567	Systèmes de communication
1670042080	Génie électrique et électronique
1499350096	Gestion de l'énergie et construction durable|Génie électrique et électronique|Mineur en Énergie
1776024041	Microtechnique|Génie électrique et électronique|Physique - master|Ingénierie physique
1776107	Microtechnique
127857132	Mineur en Énergie|Physique - master|Ingénierie physique
24302061	Micro and Nanotechnologies for Integrated Systems|Génie électrique et électronique
1774062	Génie électrique et électronique|Systèmes de communication - master
1772025	Sciences et technologies du vivant
132424187	Génie mécanique
1669227005	Passerelle HES - CGC
1676507646	Gestion de l'énergie et construction durable|Génie électrique et électronique|Mineur en Énergie
1685197312	Mathématiques - master|Ingénierie mathématique|Science et ingénierie computationnelles
1584194448	Ingénierie mathématique
1769329067	Chimie et génie chimique|Passerelle HES - CGC
4145668	Microtechnique|Passerelle HES - MT
1776060937	Gestion de l'énergie et construction durable|Génie électrique et électronique|Mineur en Énergie
350462476	Passerelle HES - CGC
840843791	Management, technologie et entrepreneuriat
1774097	Mathématiques - master|Ingénierie mathématique|Génie électrique et électronique|Systèmes de communication - master|Informatique
228381203	Gestion de l'énergie et construction durable|Microtechnique|Génie mécanique
1774102	CMS
4144900	Chimie et génie chimique|Mathématiques|UNIL - Sciences forensiques|Passerelle HES - CGC
24261148	Architecture
1772065	Systèmes de communication - master
1772075	Génie mécanique|Mineur en Technologies spatiales
4151854	Architecture|Echange AR
