Source,Target
1803745813,1803745528
1775637,2046388906
230666900,2046269811
1775382,1773227
352254973,1771072563
47980922,1776377
1932794331,1770649913
71826349,71825947
227318424,231606915
1659463240,23996074
1770973,1771338
1659048317,1695763699
1941543671,824225311
321157060,1400346043
1771693280,1775382
354983164,1775257
1658216417,352259786
24334799,2328456
1820759174,24429568
266857003,1899610706
1913487418,1803204353
23939091,23939045
4144436,1774642
1773227,1774267
1775477,1659017558
4144432,1898551900
229988298,229987786
1770857585,354983632
24378268,354983164
1775637,1578164041
1775647,1898576185
2053445405,1685212246
23818663,1888395338
1777127,1801021900
2046274196,1774097
354954033,2080292289
231606915,227317652
47830388,2053542179
355561756,1807734531
2048453865,355590564
1772085,3855141
1770973,2046274196
47830400,2053651269
1802558211,1898542974
1775602,1772817
350847112,1680039586
1775217,1775212
71855072,1661374484
1772502,2053542179
230597543,837370054
228377622,1776897
1775502,1775382
1774647,1773797
1772030,1934610873
2133573916,1775647
1659048310,128832601
128852199,128851000
1680050992,2046216872
1898609412,2268454
129833984,2046269811
128847590,1888788429
24334799,1670043473
1639194477,1639194502
1803059682,1908403182
2133573916,47980922
353942416,1899792838
830901136,4151954
788996484,127006741
1802440133,355561756
72259676,23610182
1899610706,2053445405
128847660,1775512
1773982,1776797
1898553613,2348799
1770793617,22827171
2113016316,2085300776
1777082,4151954
1807233617,232289697
1776477,227318424
1774692,824225311
1772412,1774267
1910841714,1716314736
23813560,1771849
2053445405,2229348
1774267,129285391
1775477,128851969
2046388906,1685303560
908971448,914628573
348615098,1932794331
830900311,1770793617
24345947,1898553613
1927284283,1927284144
214817947,230002415
2046269811,230666900
1771573,1771583
350477456,230666083
1775637,2133573916
1898576185,129686166
1772497,1513577381
1685197312,1774642
1676566727,1499349410
1932424367,2053445405
249321531,2046209507
1774512,1802558211
1773797,1899610706
1898553613,1898576185
80395102,214817947
1513577381,1773682
23813560,1777162
1680359016,1580215916
4151162,47952855
4649823,1770773
1685212246,1776377
1677965677,2046270943
1932791826,1941543671
229988060,214817947
227317652,1770649913
129833984,1771718
1994714489,1775372
830900311,864711496
229988298,840861591
1317715448,1685158711
938058920,227317652
2046202779,1801021900
24375105,128832601
2046388906,2046389947
230002415,130130688
1770703,71840397
1771071124,1771072563
228377622,1777127
1658215799,2053546660
230301204,3855141
838976529,24429568
230301204,1772235
1358516117,2085300776
1774267,1771930
1770973,4151162
414819112,2056114603
128851000,127857151
1898576185,1898553613
80395102,229988060
1669230250,4145236
4144436,2046388906
1777082,852569763
1801264783,1659025202
1317715448,128314283
227317652,1680050992
260077218,47995206
1773227,1771693280
2046387306,1773802
1774267,1659048310
1898532453,1771718
1776782,1776777
227318424,1776477
838976529,71630664
2046201535,1619438071
47830400,400767552
1774642,1497047397
938058920,227318683
24334799,1773452
4144436,354984919
1775782,2085300776
128852022,128847660
1685303560,1578164041
71826349,71572542
