Source,Target,type
243791097,355561756,indicative
1582864637,1582851784,indicative
1775647,1772235,indicative
354984919,354383074,indicative
1898535955,44378947,indicative
231672762,72496701,indicative
129609800,1685158711,indicative
129285391,128852199,indicative
1898557621,1685303560,indicative
1772030,1772025,indicative
1776477,938058920,indicative
1680050992,1932791826,indicative
1775497,1775382,indicative
1771690442,128847590,indicative
228377622,1777132,indicative
3855141,1772235,indicative
1906438210,23813560,indicative
132147064,824161299,indicative
146861779,72259536,indicative
3855141,1898551900,indicative
1774512,47977389,indicative
129699210,1775642,indicative
1578290162,24345947,indicative
138587084,1888788429,indicative
1771849,1496924504,indicative
1774512,1898576185,indicative
350861389,1499336370,indicative
3855141,3855141,indicative
2229035,1685303560,indicative
1776377,129699210,indicative
1578290162,1775647,indicative
1774512,2348799,indicative
1659025202,1771714259,indicative
1777132,228377622,indicative
232289697,1771071124,indicative
232289697,47947735,indicative
1898576185,1775642,indicative
1669227005,1898535955,indicative
348760034,24165904,indicative
1898535955,1669227005,indicative
1772235,1775637,indicative
1898553613,1774512,indicative
348637649,71826349,indicative
1776377,1685212246,indicative
824210739,1776107,indicative
1898563769,2348799,indicative
47947735,232289697,indicative
652076651,1582851784,indicative
967657884,652077020,indicative
1898553613,1776377,indicative
1775212,1775517,indicative
243791456,1807734531,indicative
23815258,126727237,indicative
231606915,1932791826,indicative
355590267,355590564,indicative
1775382,1775497,indicative
243429820,1775382,indicative
1775642,1774512,indicative
1888395338,71630770,indicative
2348799,1898553613,indicative
1774512,3855141,indicative
1774512,1775647,indicative
24345947,1774512,indicative
1775642,1776377,indicative
1775647,1776377,indicative
1659025202,1659048310,indicative
24429568,71630664,indicative
1776107,824210739,indicative
1497044684,1497047397,indicative
236283202,80395102,indicative
1773822,1770793617,indicative
1582851784,652076651,indicative
1773492,1774172,indicative
23325791,231606915,indicative
24345947,1776377,indicative
1772335,824161299,indicative
1775637,1685303560,indicative
4151854,1680279554,indicative
128851969,138587084,indicative
1932791826,231606915,indicative
652058942,652077693,indicative
227318424,938058920,indicative
231606915,338340784,indicative
1771017288,1772235,indicative
1898553613,1775642,indicative
132424935,72259597,indicative
243791097,1807734531,indicative
231606915,23325791,indicative
1777132,228383796,indicative
71966057,1898238663,indicative
1775642,1578290162,indicative
1772235,230301204,indicative
1775637,1776377,indicative
1889234532,47572541,indicative
1775647,129699210,indicative
229913760,80395102,indicative
1578290162,1774512,indicative
1802440133,132426961,indicative
1593341315,234597759,indicative
23996396,1773472,indicative
1513577805,1774837,indicative
1775637,1774512,indicative
1771071124,232289697,indicative
1772235,1772085,indicative
1898553613,1578290162,indicative
132425754,132427120,indicative
1775212,138587084,indicative
824210739,71603578,indicative
47977389,3855141,indicative
138587084,1775212,indicative
1584194448,1685303560,indicative
1494716829,1781858692,indicative
3855141,1584194448,indicative
1680358717,1772997,indicative
129688728,837370054,indicative
1584194448,1774642,indicative
354984919,1497044684,indicative
1802440133,652077020,indicative
1771538,1657739114,indicative
1888788429,1771690442,indicative
231606915,1932794331,indicative
24345947,354383074,indicative
652077020,243791097,indicative
1775642,1775637,indicative
1179245,1497047397,indicative
71966057,842513718,indicative
1898563805,4148121,indicative
842513718,71966057,indicative
24346085,1772085,indicative
24345947,1775647,indicative
71630664,24429568,indicative
967657884,426521225,indicative
129286243,128852199,indicative
1774172,2328456,indicative
1680358144,1580215162,indicative
23996074,1658221961,indicative
1888788429,138587084,indicative
1670043473,24334799,indicative
1898553613,1775637,indicative
2348799,1898576185,indicative
1179245,354383074,indicative
71630664,840801900,indicative
1497047397,1685197312,indicative
967657884,132426961,indicative
354984919,1685197312,indicative
1499340075,1772657,indicative
652076110,652077693,indicative
1964500347,840861451,indicative
3855141,3855141,indicative
426521225,355561756,indicative
1499251995,1773472,indicative
231901032,1771058,indicative
1775517,1771690442,indicative
128851781,128848626,indicative
1898576185,1776377,indicative
1772235,2348799,indicative
1775642,1898563769,indicative
132426961,426521225,indicative
1771849,23813560,indicative
840861451,1964500347,indicative
1772235,1772235,indicative
1499336370,350861389,indicative
1775637,1578290162,indicative
243791456,967657884,indicative
1775642,1898553613,indicative
129686166,1898576185,indicative
1898563769,1775642,indicative
1775647,1898553613,indicative
4151954,1770793617,indicative
2348799,1771017288,indicative
4151954,231606915,indicative
48289169,1771067191,indicative
338340784,4151954,indicative
1773822,830900311,indicative
1807734531,652077020,indicative
1584194448,1898551900,indicative
1898576185,1775637,indicative
1776050537,71603578,indicative
1685212246,47980922,indicative
1775642,1775637,indicative
1658221961,1580272486,indicative
1774512,1898551900,indicative
1774642,1685303560,indicative
231901032,71840397,indicative
837368471,2348799,indicative
126727237,1771849,indicative
1771693280,24375105,indicative
3855141,1772085,indicative
652058540,1770649464,indicative
414819112,1932632950,indicative
1898557621,1774512,indicative
75309053,2222268,indicative
2222268,1776687,indicative
842513489,229987786,indicative
1771017288,1772235,indicative
1775647,24345947,indicative
1771067191,48289169,indicative
1775642,129699210,indicative
132426961,243791097,indicative
1584194448,3855141,indicative
1578290162,1898553613,indicative
229913760,236283202,indicative
1807738465,129776728,indicative
1888788429,128847590,indicative
1179245,1179245,indicative
1772085,1772235,indicative
132424935,132428658,indicative
652078287,652058942,indicative
1774642,1584194448,indicative
229913760,1964500347,indicative
652076651,1582864637,indicative
129699210,1685212246,indicative
1775382,1771693280,indicative
1774512,24345947,indicative
23610182,46641934,indicative
1772235,1775647,indicative
23996074,132424568,indicative
3855141,47977389,indicative
24375105,1771693280,indicative
2328456,1774172,indicative
830901136,338340784,indicative
128847590,1775212,indicative
1775647,837368471,indicative
47995206,48289169,indicative
1497044684,1685197312,indicative
354383074,1179245,indicative
230597543,1774512,indicative
1775532,1775517,indicative
1932794331,1932632950,indicative
824206674,1776702,indicative
967657884,1807734531,indicative
2348799,24345947,indicative
72259676,46641934,indicative
1774512,1775637,indicative
1771058,231901032,indicative
1899816322,229912643,indicative
24345947,2348799,indicative
129699210,1775647,indicative
354984919,1774642,indicative
126727237,1496924504,indicative
1774642,1497044684,indicative
1775532,1775332,indicative
1771017288,1584194448,indicative
23815258,1771849,indicative
48289169,1771071124,indicative
128851969,1775477,indicative
1773337,136704309,indicative
24334799,23996396,indicative
355591210,355590564,indicative
1898563769,1776377,indicative
229913760,229988060,indicative
338340784,231606915,indicative
1499247990,1774762,indicative
132426961,1802440133,indicative
1802440133,967657884,indicative
1685158711,128314283,indicative
1775532,1775507,indicative
967657884,1802440133,indicative
414819112,938058920,indicative
23996074,1659463240,indicative
1898551900,3855141,indicative
4148121,1773797,indicative
2328456,1773492,indicative
1802440133,243791097,indicative
652076110,652078044,indicative
1772657,1499340075,indicative
227318424,1932794331,indicative
354984919,1179245,indicative
3855141,230301204,indicative
355590564,355590267,indicative
24346085,1898557621,indicative
24345947,1578290162,indicative
227318424,1932791826,indicative
1906438210,126727237,indicative
1802440133,426521225,indicative
1898563769,1898576185,indicative
1499251995,1773492,indicative
128851000,128852199,indicative
72259536,1775867,indicative
652077020,1802440133,indicative
1771849,125910731,indicative
24345947,1775637,indicative
2348799,837368471,indicative
1775382,1775372,indicative
1932794331,1932791826,indicative
80395102,229913760,indicative
243791456,1802440133,indicative
1685303560,230597543,indicative
1770857585,352072600,indicative
24429568,840801900,indicative
229988298,1964500347,indicative
129285391,243429820,indicative
1898553613,1775647,indicative
1771712588,1888393325,indicative
1497047397,1179245,indicative
1772235,1772235,indicative
354984919,1584194448,indicative
1771690442,128851969,indicative
1775372,1775382,indicative
1499251995,24334799,indicative
1773002,900058271,indicative
1685197312,354984919,indicative
3855141,1774512,indicative
1898553613,24345947,indicative
1497044684,1179245,indicative
1680358228,1680357972,indicative
229988060,236283202,indicative
1775517,128851969,indicative
2328456,24334799,indicative
4145668,71603578,indicative
1770793617,4151954,indicative
1807734531,967657884,indicative
352072600,1770857585,indicative
128851969,128847590,indicative
229988060,229913760,indicative
126727237,1906438210,indicative
243791456,132426961,indicative
1775642,24345947,indicative
1775517,138587084,indicative
1994879246,1775782,indicative
1888788429,128851969,indicative
1584194448,1771017288,indicative
1685197312,1179245,indicative
2348799,1898563769,indicative
1898576185,1775647,indicative
1657739114,840801900,indicative
128314283,129686166,indicative
837368471,24345947,indicative
1771693280,129285391,indicative
1685303560,1584194448,indicative
1771690442,138587084,indicative
837368471,1775642,indicative
652077693,652078287,indicative
1807734531,426521225,indicative
1887888382,1887888435,indicative
353946213,1693707617,indicative
1775642,1775647,indicative
128847590,1659017558,indicative
837368471,1776377,indicative
71630770,1888395338,indicative
1775637,1775642,indicative
840801900,838976529,indicative
1775507,1775532,indicative
938058920,1932791826,indicative
1776687,1499251995,indicative
1906438210,23815258,indicative
1774512,1685303560,indicative
1777132,1777127,indicative
1771072592,1582863195,indicative
23813560,1496924504,indicative
1807734531,132426961,indicative
1773682,1513577805,indicative
129286243,129285391,indicative
1775637,3855141,indicative
352632242,840844976,indicative
1775642,837368471,indicative
138587084,1659017558,indicative
1771849,126727237,indicative
1771714259,1659025202,indicative
837368471,1898563769,indicative
967657884,243791097,indicative
1771017288,2348799,indicative
1932632950,414819112,indicative
1898551900,1774512,indicative
1773452,24334799,indicative
232289697,1807233617,indicative
1771072563,352254973,indicative
249371091,249353044,indicative
4148121,1898563805,indicative
1776687,2222268,indicative
1906438210,1494718976,indicative
138587084,128851969,indicative
1590321840,1889234532,indicative
1774512,1584194448,indicative
4151954,23325791,indicative
1775637,1775642,indicative
1659048310,1659025202,indicative
840801900,1657739114,indicative
128314283,1898576185,indicative
23325791,4151954,indicative
1676566727,1499334061,indicative
24165904,348760034,indicative
1772235,2348799,indicative
1582863195,352072600,indicative
1775212,1888788429,indicative
1775212,1659017558,indicative
44378947,1898535955,indicative
1179245,1179245,indicative
24508366,24302061,indicative
1497044684,1774642,indicative
1584194448,354984919,indicative
129699210,1776377,indicative
1932791826,938058920,indicative
1898551900,1584194448,indicative
354984919,1497047397,indicative
24175202,71466583,indicative
1773492,24334799,indicative
1680039586,839100255,indicative
1581734729,1803277152,indicative
414819112,227318424,indicative
1774642,1685197312,indicative
24345947,1179245,indicative
24092923,1887888591,indicative
227318424,414819112,indicative
1685303560,1775637,indicative
938058920,231606915,indicative
71603578,824206674,indicative
1775642,1775642,indicative
125910731,1771849,indicative
24165904,47241891,indicative
128852199,129285391,indicative
23996396,2328456,indicative
1932794331,938058920,indicative
1775642,1898576185,indicative
352254973,1679266975,indicative
2328456,1773472,indicative
161868049,830854788,indicative
23813560,1906438210,indicative
1776592,1776592,indicative
1775647,1775642,indicative
1775642,24345947,indicative
1898563769,837368471,indicative
652077020,426521225,indicative
1578290162,1775642,indicative
128851969,1775212,indicative
837368471,1774512,indicative
1771652313,243791097,indicative
4151162,1770973,indicative
652078287,652077693,indicative
128851000,129285391,indicative
1772235,1771017288,indicative
842513718,230003664,indicative
1657739114,1771538,indicative
24345947,1775642,indicative
134558590,132448364,indicative
3855141,1772235,indicative
3855141,230301204,indicative
231606915,227318424,indicative
1775642,1774512,indicative
350468544,351053875,indicative
1774522,1774567,indicative
1775867,146861779,indicative
1887888435,1887888382,indicative
1898557621,230597543,indicative
47241891,24165904,indicative
1775637,1898576185,indicative
1670084070,350861389,indicative
426521225,967657884,indicative
354383074,24345947,indicative
1803204353,1775477,indicative
1898557621,47977389,indicative
136704309,1773337,indicative
2348799,1775637,indicative
1964500347,840861591,indicative
355561756,132426961,indicative
1497047397,354383074,indicative
24429568,1657739114,indicative
71466583,24261148,indicative
1775642,47980922,indicative
1496924504,23813560,indicative
24345947,1772235,indicative
1770793617,830900311,indicative
128847590,1775517,indicative
1774567,1774522,indicative
243791097,1802440133,indicative
1578290162,837368471,indicative
354383074,1685197312,indicative
1898551900,47977389,indicative
230003664,842513718,indicative
236283202,229913760,indicative
129609800,1772235,indicative
1582863195,1770857585,indicative
23996396,24302061,indicative
24345947,1898576185,indicative
1776377,1898553613,indicative
129609800,1771017288,indicative
354383074,354984919,indicative
900058271,1773002,indicative
355561756,652077020,indicative
1775637,24345947,indicative
1776057,1499248312,indicative
228383796,228377622,indicative
1496924504,1771849,indicative
128851969,1771690442,indicative
132426961,652077020,indicative
1774837,1513577805,indicative
1898563769,1578290162,indicative
1774642,230597543,indicative
350861389,1670084070,indicative
1773472,2328456,indicative
4151954,338340784,indicative
1584194448,1774512,indicative
1771538,840801900,indicative
838976529,840801900,indicative
1775642,1898576185,indicative
1775647,1898563769,indicative
652077693,652076110,indicative
47977389,1685303560,indicative
24375105,243429820,indicative
1776377,837368471,indicative
1771058,128789807,indicative
46641934,72259676,indicative
4151954,830901136,indicative
355561756,1802440133,indicative
1775637,1898551900,indicative
4649823,231617900,indicative
132424568,23996074,indicative
1685303560,1774512,indicative
80395102,236283202,indicative
938058920,414819112,indicative
229912643,1899816322,indicative
1773492,2328456,indicative
1680039586,350847112,indicative
1179245,1774642,indicative
1898576185,128314283,indicative
1776377,1775647,indicative
1772235,1578290162,indicative
1772235,1775642,indicative
1499334061,1676566727,indicative
1776377,47980922,indicative
1776377,2348799,indicative
1497047397,1179245,indicative
1770857585,1582863195,indicative
126727237,1687172291,indicative
1693707617,353946213,indicative
1772997,1580214404,indicative
23325791,338340784,indicative
1659017558,1775497,indicative
938058920,1776477,indicative
354984919,1685303560,indicative
1179245,1497047397,indicative
1659017558,1888788429,indicative
132426961,1807734531,indicative
128676455,128676975,indicative
126727237,23813560,indicative
249353044,249371091,indicative
71966057,230003664,indicative
1578290162,1898563805,indicative
1775382,129285391,indicative
652077020,967657884,indicative
1593341315,132424935,indicative
1685303560,1774642,indicative
1775497,1659048310,indicative
350462476,1772275,indicative
127857132,1771690442,indicative
355561756,243791456,indicative
1927284194,1927284144,indicative
4151954,22827171,indicative
1771718,129833984,indicative
1771693280,243429820,indicative
129609800,1772235,indicative
1932632950,1680050992,indicative
2348799,1774512,indicative
128852199,129286243,indicative
128676975,128676455,indicative
47830388,1659463240,indicative
22827171,4151954,indicative
1685303560,1898557621,indicative
231957235,72259583,indicative
824206674,824210739,indicative
1582863195,1771072592,indicative
1775642,1898553613,indicative
1680050992,1932632950,indicative
652077020,355561756,indicative
355590564,355591210,indicative
1774172,1773492,indicative
1775212,1771690442,indicative
22827171,1770793617,indicative
1179245,354383074,indicative
229987786,229988298,indicative
243429820,1771693280,indicative
1777127,228377622,indicative
129286243,128851000,indicative
128851000,129286243,indicative
1772085,3855141,indicative
1888788429,1775212,indicative
1580213011,1581730851,indicative
1775647,1775642,indicative
1899816746,840844976,indicative
967657884,355561756,indicative
1499340075,1776057,indicative
1680357972,1680358228,indicative
24429568,838976529,indicative
1775867,72259536,indicative
129285391,24375105,indicative
426521225,132426961,indicative
1898553613,1775642,indicative
840861591,229988298,indicative
243791097,132426961,indicative
