Source,Target
1705590,1774262
1705590,1774337
1705590,1774377
1705590,1774562
1774567,1705590
1705590,1774587
1705590,1774642
1705590,1774647
1705590,1774782
1705590,1775332
1775337,1705590
1775427,1705590
1705590,1775437
1775642,1705590
1705590,1775692
1775697,1705590
1705590,1775702
1705590,1776367
1705590,1776372
1776592,1705590
1705590,1776697
1776942,1705590
1705590,2246994
1705590,3115958
1705590,4144908
4144932,1705590
1705590,4145320
1705590,4145456
1705590,4146612
4148417,1705590
1705590,4148677
1705590,24237209
1705590,47847929
1705590,47848061
1705590,47865556
1705590,47865578
1705590,47865593
1705590,71544480
71855072,1705590
72257890,1705590
1705590,72270661
1705590,80956652
1705590,80956661
158989710,1705590
231606915,1705590
1705590,234835654
1705590,234835709
1705590,234835739
1705590,234835887
234835927,1705590
1705590,234836085
1705590,234860451
1705590,257434376
260079039,1705590
1705590,260079329
350476084,1705590
1705590,351053875
1705590,405236970
1705590,405237349
1705590,405237425
1705590,444490609
1705590,784632988
784634759,1705590
1705590,784634863
784635267,1705590
1705590,784635773
784636115,1705590
784637359,1705590
1705590,784637613
1705590,824222877
1705590,824225311
1705590,824237798
1705590,838973065
1705590,898386707
1705590,898387304
898388833,1705590
1308755179,1705590
1705590,1308833250
1705590,1499329522
1705590,1513576172
1705590,1580215248
1705590,1580215714
1580215866,1705590
1705590,1580215909
1705590,1580215967
1705590,1581729904
1705590,1657415100
1657415175,1705590
1657417551,1705590
1657417886,1705590
1657418597,1705590
1705590,1657419561
1705590,1657719640
1657719663,1705590
1705590,1657719700
1705590,1657719952
1658044571,1705590
1658051971,1705590
1658061639,1705590
1658093326,1705590
1659017558,1705590
1661374484,1705590
1661986440,1705590
1676846587,1705590
1705590,1677965677
1705590,1677966173
1705590,1678496584
1705590,1678982942
1705590,1678983025
1705590,1694624781
1705590,1757756813
1705590,1757756880
1705590,1757757070
1705590,1757757078
1757757094,1705590
1705590,1757757140
1705590,1757761680
1705590,1757761712
1705590,1757761741
1705590,1757761748
1705590,1757761756
1757832994,1705590
1790138559,1705590
1705590,1795351321
1927284144,1705590
1927284194,1705590
1927284283,1705590
1927284325,1705590
1705590,1951525543
1772025,1705597
1772030,1705597
1772095,1705597
1772517,1705597
1772562,1705597
1705597,1772992
1705597,1772997
1705597,1773002
1773512,1705597
1705597,1773517
1705597,1773677
1773777,1705597
1773797,1705597
1705597,1773802
1773962,1705597
1774377,1705597
1774562,1705597
1774567,1705597
1705597,1774642
1774782,1705597
1775332,1705597
1775427,1705597
1775437,1705597
1775642,1705597
1775692,1705597
1775697,1705597
1705597,1775702
1776367,1705597
1705597,1776372
1705597,1776592
3115958,1705597
4144908,1705597
1705597,4144932
1705597,4146612
4148417,1705597
4148677,1705597
47847929,1705597
1705597,47848061
47865556,1705597
1705597,47865578
1705597,47865593
1705597,52150910
1705597,71544480
71855072,1705597
72257890,1705597
72270661,1705597
1705597,80956652
1705597,80956661
158989710,1705597
231606915,1705597
1705597,234835654
234835709,1705597
234835739,1705597
234835887,1705597
234860451,1705597
257434376,1705597
350476084,1705597
1705597,351053875
405237349,1705597
1705597,405237425
444490609,1705597
784632988,1705597
784634759,1705597
1705597,784634863
784635267,1705597
784635773,1705597
1705597,784636115
784637359,1705597
784637613,1705597
1705597,824222877
1705597,824225311
1705597,824237798
1705597,1499329522
1580215248,1705597
1580215967,1705597
1705597,1581729904
1705597,1657415100
1705597,1657415175
1705597,1657417551
1657417886,1705597
1657418597,1705597
1657419561,1705597
1657719640,1705597
1705597,1657719663
1657719952,1705597
1705597,1658044571
1658051971,1705597
1658061639,1705597
1705597,1658093326
1659017558,1705597
1661374484,1705597
1661986440,1705597
1676846587,1705597
1705597,1677965677
1677966173,1705597
1678496584,1705597
1705597,1678982942
1705597,1678983025
1705597,1694624781
1705597,1757756813
1705597,1757756880
1757757070,1705597
1757757078,1705597
1757757094,1705597
1757757140,1705597
1705597,1757761712
1705597,1757761756
1705597,1757832994
1790138559,1705597
1705597,1795351321
1927284144,1705597
1705597,1927284194
1705597,1951525543
1705597,2046270943
1716314736,1932629392
1748172,1748165
1772095,1748165
1772517,1748165
1748165,1773777
1775427,1748165
1748165,1775437
784634759,1748165
1657417886,1748165
1676846587,1748165
1748172,1772095
1772517,1748172
1748172,1773777
1775427,1748172
1748172,1775437
1748172,1775692
2207995,1748172
1748172,2208004
1748172,4146612
1748172,1657719952
1932629392,1756983906
1757756813,2046270943
2046270943,1757756880
1757757070,1769357011
1757757078,1769357011
1757757094,1769357011
1757757140,1769357011
1769357011,1757761712
1769357011,1757761741
1769357011,1757832994
1769357011,1769362835
1770632,1772155
1773367,1770632
1773592,1770632
1770632,1773597
1770632,1773617
1773632,1770632
1770632,1773727
1773822,1770632
1773877,1770632
1774027,1770632
1770632,1774547
1775602,1770632
1775607,1770632
1775782,1770632
1776062,1770632
1770632,1776477
1770632,1776587
1770632,2208536
2208772,1770632
1770632,4147873
22830254,1770632
1770632,22830370
1770632,23325791
1770632,47458421
1770632,47520714
71544008,1770632
1770632,136703631
136704168,1770632
1770632,136704309
1770632,380690154
1770632,863032404
1770632,864711496
1770632,1716314736
1770632,1756983906
1772125,1770637
1772230,1770637
1775437,1770637
24092923,1770637
1770688,1772492
1770688,129776728
1770973,1770703
1771183,1770703
1771468,1770703
1773287,1770703
1770703,1773292
1770703,71840397
128676975,1770703
1770703,231901032
1770703,348806060
1770973,1770713
1770713,1771158
1771183,1770713
1771378,1770713
1770713,1771764
1773287,1770713
1773292,1770713
128676975,1770713
128778875,1770713
348806060,1770713
838996229,1770713
1771488,1770748
1773592,1770773
1773632,1770773
24005195,1770773
47572529,1770773
72495962,1770773
72496701,1770773
1770773,231672762
1770773,348637649
353834062,1770773
1770773,1590321840
1680357086,1770773
1770798,1770893
1770973,1770798
1770798,1771158
1771303,1770798
1770798,1771338
1770798,1771378
1771468,1770798
1771703,1770798
1771764,1770798
1770798,1771804
1770798,1772065
1773287,1770798
1770798,1773292
1774097,1770798
2258965,1770798
1770798,4650155
24166696,1770798
1770798,25022918
47952855,1770798
82805306,1770798
128676975,1770798
1770798,1501691751
1501692114,1770798
1770828,1771583
1770828,1772000
1772492,1770828
1770828,1776117
1770828,4147445
1770893,1770973
1771764,1770893
1770893,1773287
1770893,1773292
1770893,1774097
1770923,1770973
1771183,1770923
1771338,1770923
1771764,1770923
1773287,1770923
1773292,1770923
128676975,1770923
1770923,128778875
1770948,1771158
1770948,1771468
1770948,1773292
1771158,1770973
1770973,1771173
1771183,1770973
1771278,1770973
1771303,1770973
1771338,1770973
1770973,1771378
1770973,1771468
1770973,1771473
1771703,1770973
1770973,1771764
1770973,1771804
1770973,1772055
1772065,1770973
1770973,1772927
1773287,1770973
1770973,1773292
1774097,1770973
1776347,1770973
2258712,1770973
1770973,2258965
1770973,2262209
1770973,4650155
1770973,24165904
1770973,24166696
1770973,46908235
1770973,47891977
1770973,47994028
1770973,47997051
82805306,1770973
128676975,1770973
1770973,128778875
348806060,1770973
1770973,353831841
1770973,1501691751
1501692114,1770973
1771338,1771018
1771468,1771018
1771703,1771018
1771018,1771764
1773292,1771018
1774097,1771018
1771018,1501614035
1771058,1771338
1771128,24007074
1771183,1771158
1771158,1771338
1771158,1771468
1771764,1771158
1771158,1773287
1771158,1773292
1774097,1771158
1771158,128676975
1773287,1771173
1771173,1773292
1771183,1771338
1771183,1771378
1771183,1771468
1771183,1771764
1771183,1771804
1773287,1771183
1771183,1773292
1771183,4650155
1771183,128676975
1771183,128778875
348806060,1771183
1771183,1501691751
1771183,1678958548
1678961252,1771183
1771203,1771764
1772852,1771208
1774997,1771208
1776982,1771208
1771263,1772492
1771378,1771278
1773292,1771278
1771338,1771303
1771468,1771303
1771303,1771764
1772065,1771303
1771303,1773287
1773292,1771303
1771303,1774097
24165904,1771303
24166696,1771303
82805306,1771303
348806060,1771303
1771338,1771378
1771338,1771468
1771338,1771703
1771764,1771338
1772065,1771338
1773287,1771338
1773292,1771338
1771338,1774062
1774097,1771338
1771338,1774487
1771338,1776002
1776347,1771338
1777022,1771338
24165904,1771338
24166696,1771338
1771338,47994028
1771338,47997051
1771338,71603711
71833684,1771338
82805306,1771338
128676975,1771338
1771338,128778875
229720940,1771338
1771338,231901032
348760034,1771338
348806060,1771338
1771338,353834062
1771338,838996229
1771378,1771764
1771378,1772065
1773287,1771378
1773292,1771378
1774097,1771378
1775207,1771378
1771378,1776982
1771378,24166696
1772040,1771388
1772492,1771388
1771388,2332276
1771388,23996074
24429011,1771388
1771388,47830388
47941315,1771388
1771388,47994028
48029637,1771388
48289169,1771388
1771388,71898059
129833984,1771388
1771468,1771703
1771764,1771468
1771468,1771794
1771804,1771468
1772065,1771468
1773287,1771468
1773292,1771468
1774097,1771468
1771468,1776347
2258965,1771468
1771468,4650155
24165904,1771468
1771468,24166696
1771468,47994028
1771468,82805306
1771468,128676975
128778875,1771468
1771468,229720940
1771468,231901032
1771468,231957235
1771468,348760034
348806060,1771468
353831841,1771468
353834062,1771468
1501614035,1771468
1771468,1501691751
1771468,1501692114
1771468,1678958548
1771468,1678961252
1790249495,1771468
1771468,1888826574
1773287,1771473
1773292,1771473
1774097,1771473
1771583,1771538
1771538,1772000
4147445,1771538
128686658,1771538
1771573,24381615
73562239,1771573
1771583,1772000
1771583,48099118
1771583,130130740
1771764,1771703
1772065,1771703
1773287,1771703
1771703,1773292
1774097,1771703
1771703,1776347
1771703,24165904
1771703,24166696
1771703,71833684
82805306,1771703
1801264783,1771714545
1771733,1772492
1771764,1771804
1772055,1771764
1771764,1772065
1773287,1771764
1773292,1771764
1771764,1774097
1774242,1771764
1771764,1774342
1771764,1776347
1776982,1771764
1771764,2258712
2258965,1771764
4650155,1771764
1771764,46908235
47891977,1771764
47994028,1771764
1771764,47997051
1771764,82805306
128676975,1771764
1771764,128778875
348806060,1771764
1771764,353831841
1771764,1501691751
1771764,1501692114
1771764,1678958548
1771764,1678961252
1773292,1771794
1771794,128676975
1771794,232289936
1771794,1501614035
1773287,1771804
1773292,1771804
1774097,1771804
128676975,1771804
128778875,1771804
348806060,1771804
1771829,1772095
1772417,1771829
1771829,1773777
1773787,1771829
1771829,1774607
1775277,1771829
1771829,1776112
29870604,1771829
85594280,1771829
1771839,1772125
1771839,1772230
1771839,1772235
1772517,1771839
1772852,1771839
1772992,1771839
1771839,1773252
1771839,1773492
1775427,1771839
1771839,1775437
1771839,1775642
1771839,1776067
1771839,2258712
1771839,13347186
1771839,71644584
1771839,71645784
1771839,79561479
1771839,128123325
1772230,1771844
1775427,1771844
1771844,2258712
1771849,1775032
1771849,2182821
24175202,1771849
348701447,1771849
1771849,1680259260
1775032,1771854
24175202,1771854
1771854,126727237
1680257605,1771854
1680277058,1771854
1781858447,1771854
1771905,1775912
1772075,1771925
1772235,1771925
1774652,1771925
1775477,1771925
1775497,1771925
1771925,1775642
3855141,1771925
47243872,1771925
1771925,241135439
1773442,1771930
1771930,1775512
1771990,1771995
1772235,1771990
1771990,1772657
1771990,1772737
1771990,1772847
1771990,1774082
1771990,1774387
1771990,1774677
1771990,1774687
1771990,1774697
1774797,1771990
1771990,1775137
1775462,1771990
1775642,1771990
1771990,1776112
1771990,1776557
1771990,1776627
1771990,1776662
1771990,1776957
1771990,2328456
